BR:BEND-PC2:OWFS_PROCESS_T,              +3255.784069,37.1743,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3311.975095,55.1879,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3352.363656,39.3867,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3390.711449,37.3459,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3446.974821,55.2613,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3484.742696,36.7645,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3527.590924,41.8463,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3584.019906,55.427,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3621.764363,36.7411,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3662.494743,39.7289,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3718.758110,55.2605,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3756.523255,36.7621,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3794.688681,37.1636,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3855.432000,59.7413,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3893.168235,36.7329,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3931.355141,37.1851,,
BR:BEND-PC2:OWFS_PROCESS_T,              +3990.148695,57.7917,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4028.069728,36.919,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4066.215109,37.142,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4122.513273,55.2961,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4165.011102,41.4947,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4203.188741,37.1759,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4259.364068,55.173,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4299.795137,39.4295,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4338.165490,37.3676,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4394.596757,55.4281,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4432.353703,36.7552,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4475.314844,41.9597,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4531.636864,55.319,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4569.394157,36.7549,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4610.256240,39.8602,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4666.755292,55.4973,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4704.500915,36.7437,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4742.677103,37.1748,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4803.502270,59.822,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4841.254062,36.7494,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4879.447292,37.1909,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4938.461882,58.0136,,
BR:BEND-PC2:OWFS_PROCESS_T,              +4976.388970,36.9239,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5014.564106,37.1731,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5070.711641,55.1448,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5113.194072,41.4794,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5151.382430,37.1852,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5207.760771,55.3759,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5248.174966,39.4128,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5286.488642,37.3106,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5342.791489,55.3004,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5380.532999,36.7395,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5423.448944,41.9129,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5479.658705,55.208,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5517.410659,36.75,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5558.242181,39.8295,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5614.814914,55.5699,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5652.577628,36.7595,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5690.750259,37.1703,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5751.620795,59.8686,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5789.381733,36.7591,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5827.562451,37.1787,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5886.429444,57.8638,,
BR:BEND-PC2:OWFS_PROCESS_T,              +5924.341313,36.9098,,
